-- sp_help Recordset 1

Name	Owner	Type	Created_datetime	
SAZMAN	dbo	user table	28/02/2026 08:21:20 ق.ظ


-- sp_help Recordset 2

Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation	
UNIVERSITY_CO	float	no	8	53   		no	(n/a)	(n/a)	
NAME	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
CITY	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
MANAGER	nvarchar	no	80	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
MOAVEN	nvarchar	no	80	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ZIHESAB	nvarchar	no	80	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
AMINAMVAL	nvarchar	no	80	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
YEA	smallint	no	2	5    	0    	yes	(n/a)	(n/a)	
SANAD	smallint	no	2	5    	0    	yes	(n/a)	(n/a)	
GHAYM	smallint	no	2	5    	0    	yes	(n/a)	(n/a)	
KALA	smallint	no	2	5    	0    	yes	(n/a)	(n/a)	
PERSON	smallint	no	2	5    	0    	yes	(n/a)	(n/a)	
DIG	float	no	8	53   		yes	(n/a)	(n/a)	
WAR	float	no	8	53   		yes	(n/a)	(n/a)	
LST	float	no	8	53   		yes	(n/a)	(n/a)	
TFTPAGE	float	no	8	53   		yes	(n/a)	(n/a)	
TFSAZMAN	nvarchar	no	80	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
TFADDRESS	nvarchar	no	300	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
TFTEL	nvarchar	no	120	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
TFCODE_E	nvarchar	no	26	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
WIDTH_D	nvarchar	no	400	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
HIGH_D	nvarchar	no	800	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
CPI	float	no	8	53   		yes	(n/a)	(n/a)	
SANDOGH	float	no	8	53   		yes	(n/a)	(n/a)	
BANKHA	float	no	8	53   		yes	(n/a)	(n/a)	
BESTANKAR	float	no	8	53   		yes	(n/a)	(n/a)	
BEDEHKAR	float	no	8	53   		yes	(n/a)	(n/a)	
KHARID	float	no	8	53   		yes	(n/a)	(n/a)	
MKHARID	float	no	8	53   		yes	(n/a)	(n/a)	
TKHARID	float	no	8	53   		yes	(n/a)	(n/a)	
HKHARID	float	no	8	53   		yes	(n/a)	(n/a)	
FROSH	float	no	8	53   		yes	(n/a)	(n/a)	
MFROSH	float	no	8	53   		yes	(n/a)	(n/a)	
TFROSH	float	no	8	53   		yes	(n/a)	(n/a)	
HFROSH	float	no	8	53   		yes	(n/a)	(n/a)	
MOGODIA	float	no	8	53   		yes	(n/a)	(n/a)	
MOGODIP	float	no	8	53   		yes	(n/a)	(n/a)	
DARAM	float	no	8	53   		yes	(n/a)	(n/a)	
HDARAM	float	no	8	53   		yes	(n/a)	(n/a)	
HKOL	float	no	8	53   		yes	(n/a)	(n/a)	
ADA	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
APA	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ADV	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
HAVALAH	float	no	8	53   		yes	(n/a)	(n/a)	
CTRL_TS	float	no	8	53   		yes	(n/a)	(n/a)	
F_ANBARF	float	no	8	53   		yes	(n/a)	(n/a)	
GH_PK	float	no	8	53   		yes	(n/a)	(n/a)	
L_NUMBER	float	no	8	53   		yes	(n/a)	(n/a)	
SF_G	float	no	8	53   		yes	(n/a)	(n/a)	
TAR_KM	float	no	8	53   		yes	(n/a)	(n/a)	
BACKPATH	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
TKHF	int	no	4	10   	0    	yes	(n/a)	(n/a)	
HAZ_TOL	float	no	8	53   		yes	(n/a)	(n/a)	
PJHAZ_TOL1	float	no	8	53   		yes	(n/a)	(n/a)	
PHAZ_TOL	float	no	8	53   		yes	(n/a)	(n/a)	
GHEYMAT	float	no	8	53   		yes	(n/a)	(n/a)	
PPDAST	float	no	8	53   		yes	(n/a)	(n/a)	
PPSAR	float	no	8	53   		yes	(n/a)	(n/a)	
AMALKARD	float	no	8	53   		yes	(n/a)	(n/a)	
PERSONEL	nvarchar	no	80	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
PERVAM	nvarchar	no	80	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
