-- sp_help Recordset 1

Name	Owner	Type	Created_datetime	
SIGN	dbo	user table	28/02/2026 08:21:21 ق.ظ


-- sp_help Recordset 2

Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation	
USERCO	int	no	4	10   	0    	no	(n/a)	(n/a)	
FFR_FROOSH	bit	no	1	     	     	yes	(n/a)	(n/a)	
FFR_HESAB	bit	no	1	     	     	yes	(n/a)	(n/a)	
FFR_MODIR	bit	no	1	     	     	yes	(n/a)	(n/a)	
KFR_BAZAR	bit	no	1	     	     	yes	(n/a)	(n/a)	
KFR_HESAB	bit	no	1	     	     	yes	(n/a)	(n/a)	
KFR_MODIR	bit	no	1	     	     	yes	(n/a)	(n/a)	
ANB_RASID_ANB	bit	no	1	     	     	yes	(n/a)	(n/a)	
ANB_RASID_QC	bit	no	1	     	     	yes	(n/a)	(n/a)	
ANB_HAVL_FROSH	bit	no	1	     	     	yes	(n/a)	(n/a)	
ANB_HAVL_ANB	bit	no	1	     	     	yes	(n/a)	(n/a)	
ANB_HAVL_MODIR	bit	no	1	     	     	yes	(n/a)	(n/a)	
ANB_TOLID_MODIRT	bit	no	1	     	     	yes	(n/a)	(n/a)	
ANB_TOLID_QC	bit	no	1	     	     	yes	(n/a)	(n/a)	
ANB_TOLID_ANB	bit	no	1	     	     	yes	(n/a)	(n/a)	
ANB_KHOROG_ANB	bit	no	1	     	     	yes	(n/a)	(n/a)	
ANB_KHOROG_MODIRT	bit	no	1	     	     	yes	(n/a)	(n/a)	
ANB_KHOROGS_ANB	bit	no	1	     	     	yes	(n/a)	(n/a)	
ANB_KHOROGS_MODIRT	bit	no	1	     	     	yes	(n/a)	(n/a)	
SND_TAHI	bit	no	1	     	     	yes	(n/a)	(n/a)	
SND_MALI	bit	no	1	     	     	yes	(n/a)	(n/a)	
SND_MODIR	bit	no	1	     	     	yes	(n/a)	(n/a)	
FFRB_FROOSH	bit	no	1	     	     	yes	(n/a)	(n/a)	
FFRB_ANB	bit	no	1	     	     	yes	(n/a)	(n/a)	
FFRB_HESAB	bit	no	1	     	     	yes	(n/a)	(n/a)	
FFRB_MODIR	bit	no	1	     	     	yes	(n/a)	(n/a)	
KFRB_BAZAR	bit	no	1	     	     	yes	(n/a)	(n/a)	
KFRB_ANB	bit	no	1	     	     	yes	(n/a)	(n/a)	
KFRB_HESAB	bit	no	1	     	     	yes	(n/a)	(n/a)	
KFRB_MODIR	bit	no	1	     	     	yes	(n/a)	(n/a)	
FFRP_FROOSH	bit	no	1	     	     	yes	(n/a)	(n/a)	
FFRP_ANB	bit	no	1	     	     	yes	(n/a)	(n/a)	
FFRP_HESAB	bit	no	1	     	     	yes	(n/a)	(n/a)	
FFRP_MODIR	bit	no	1	     	     	yes	(n/a)	(n/a)	
RASM_HESAB	bit	no	1	     	     	yes	(n/a)	(n/a)	
RASM_MODIR	bit	no	1	     	     	yes	(n/a)	(n/a)	
PAY_MVAHED	bit	no	1	     	     	yes	(n/a)	(n/a)	
PAY_HESAB	bit	no	1	     	     	yes	(n/a)	(n/a)	
PAY_MAMEL	bit	no	1	     	     	yes	(n/a)	(n/a)	
ENTGH_AZANB	bit	no	1	     	     	yes	(n/a)	(n/a)	
ENTGH_BEANB	bit	no	1	     	     	yes	(n/a)	(n/a)	
ENTGH_MODIR	bit	no	1	     	     	yes	(n/a)	(n/a)	
PAZ_PAZ	bit	no	1	     	     	no	(n/a)	(n/a)	
PAZ_HES	bit	no	1	     	     	no	(n/a)	(n/a)	
PAZ_CEO	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0124	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0224	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0324	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0126	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0226	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0326	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0133	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0233	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0333	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0132	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0232	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0332	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0134	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0234	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0334	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0135	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0235	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0335	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0136	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0236	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0336	bit	no	1	     	     	no	(n/a)	(n/a)	
FFR_FROOSHTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
FFR_HESABTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
FFR_MODIRTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
KFR_BAZARTX	varbinary	no	50	     	     	yes	no	yes	
KFR_HESABTX	varbinary	no	50	     	     	yes	no	yes	
KFR_MODIRTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ANB_RASID_ANBTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ANB_RASID_QCTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ANB_HAVL_FROSHTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ANB_HAVL_ANBTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ANB_HAVL_MODIRTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ANB_TOLID_MODIRTTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
